Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite,Numero_SIRET,Code_Postal,Commune,Departement,Region,Coordonnees_X,Coordonnees_Y,Code_APE,Libelle_APE,code_eprtr,libelle_eprtr,sirene_adresse,sirene_code_postal,Adresse,latitude,longitude,geocode_src,geocode_qualite
065.03434,SGI SOCIETE DE GALVANOPLASTIE INDUSTRIELLE,2019,Air,Composés organiques volatils non méthaniques (COVNM),83838.9,kg/an,78545315000043,02600,VILLERS-COTTERETS,AISNE,HAUTS-DE-FRANCE,3.102013,49.248581,2561Z,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3,4 RUE DU MARCHOIS,02600,04 rue du Marchois,49.248561,3.102082,API BAN,0.91
067.00446,AMCOR Specialty Cartons France,2019,Air,Composés organiques volatils non méthaniques (COVNM),83764.2,kg/an,30257281300012,68190,UNGERSHEIM,HAUT-RHIN,GRAND-EST,971678,2331170,1812Z,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an",RUE DES VIOLETTES,68190,Zone Industrielle,47.873369,7.332745,API BAN,0.57
510.00149,SCEA de PROMONTVAL,2019,Air,Ammoniac (NH3),83495,kg/an,39021962400017,10150,MONTSUZAIN,AUBE,GRAND-EST,4.195487,48.469101,0146Z,Élevage de porcins,7.(a).(iii),disposant de 750 emplacements pour truies,FERME DE MONTARDOISE,10150,MONTARDOISE,48.463808,4.180151,API BAN,0.94
055.00609,Bunge France Brest,2019,Eau (indirect),Demande biologique en oxygène (DBO5),83088,kg/an,43539135400014,29200,BREST,FINISTERE,BRETAGNE,96355.41,2398085.92,1041A,Fabrication d'huiles et graisses brutes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle),28 T RUE DE LA PAIX ET DES ARTS,44600,Rue de Yokosuka - ZI Portuaire,48.4004997828,-4.5027907853,Base Code Postaux,commune
068.02548,FIBRE EXCELLENCE Saint-Gaudens,2019,Eau (direct),Demande biologique en oxygène (DBO5),82997.7,kg/an,39931827800021,31800,SAINT-GAUDENS,HAUTE-GARONNE,OCCITANIE,467985,1789817,1711Z,Fabrication de pâte à papier,6.(a),Installations industrielles destinées à la fabrication de pâte à papier à partir du bois ou d'autres matières fibreuses,BD DU PRESIDENT G SARAGAT,31800,Rue du Président Saragat,43.099953,0.721841,API BAN,0.62
057.01300,SAVIPLAST 52,2019,Air,Composés organiques volatils non méthaniques (COVNM),82938,kg/an,80076178500016,52600,CHALINDREY,HAUTE-MARNE,GRAND-EST,8327.8,23157,2229A,Fabrication de pièces techniques à base de matières plastiques,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an",ZONE INDUSTRIELLE LES MOULIERES,52600,Zone industrielle Les Moulières,47.7928741357,5.44307044618,Base Code Postaux,commune
073.00024,EDF Corse Centrale du Vazzio,2019,Air,Particules (PM10),82710.1,kg/an,55208131721980,20090,AJACCIO,CORSE-DU-SUD,CORSE,8.782861,41.934921,3511Z,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW,ANCIENNE RTE DE SARTENE VAZZIO,20090,ZI du VAZZIO,41.930469,8.757743,API BAN - Adresse SIRENE,commune
556.00175,Ronsard,2019,Eau (indirect),Demande biologique en oxygène (DBO5),82599,kg/an,32161691400016,56500,BIGNAN,MORBIHAN,BRETAGNE,-2.78277,47.879495,1012Z,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour,18 RUE DE L INDUSTRIE,56500,"18, rue de l industrie",47.879192,-2.782047,API BAN,0.96
057.01177,GIE Chardonneuse,2019,Air,Composés organiques volatils non méthaniques (COVNM),82154.1,kg/an,47754774900010,08310,PAUVRES,ARDENNES,GRAND-EST,755649.75,2493434.92,1091Z,Fabrication d'aliments pour animaux de ferme,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle),,08130,rte Départementale,49.302044,4.395199,API BAN,0.3
726.36201,Valence Romans Agglo,2019,Eau (direct),Azote total,81920,kg/an,20006878100026,26000,VALENCE,DROME,AUVERGNE-RHONE-ALPES,799827,1992623,3700Z,Collecte et traitement des eaux usées,5.(f),Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants,1 PL JACQUES BREL,26000,Quartier Mauboule,44.893345,4.909051,API BAN,0.44
057.01609,GIVAUDAN,2019,Air,Composés organiques volatils non méthaniques (COVNM),81897,kg/an,56206305700144,51110,POMACLE,MARNE,GRAND-EST,732.6,2484.7,2042Z,Fabrication de parfums et de produits pour la toilette,4.(a).(ii),"hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes",ROUTE DE BAZANCOURT,51110,route de Bazancourt,49.355284,4.195943,API BAN,0.95
701.45103,CA Bourg-en-Bresse,2019,Sol,Phosphore total,81597,kg/an,20007175100016,01440,VIRIAT,AIN,AUVERGNE-RHONE-ALPES,42.227424,5.22181,8411Z,Administration publique générale,5.(f),Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants,3 AV ARSENE D ARSONVAL,01000,"1658, chemin de Majornas",46.227346,5.221063,API BAN,0.58
585.02426,SOCOPA Viandes La Roche/Yon,2019,Eau (indirect),Demande biologique en oxygène (DBO5),81507,kg/an,50851378500206,85015,LA ROCHE-SUR-YON,VENDEE,PAYS-DE-LA-LOIRE,316319,2194619,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour,RTE DE CHOLET,85000,BP589  Route de Cholet  ZA des Ajoncs,46.722916,-1.450826,API BAN - Adresse SIRENE,commune
067.00806,Knauf Industries Est,2019,Air,Composés organiques volatils non méthaniques (COVNM),81135,kg/an,42181984800027,67507,HAGUENAU,BAS-RHIN,GRAND-EST,996552.8,2439699.42,2222Z,Fabrication d'emballages en matières plastiques,NA,NA,AIR PARC ZAC DE GRENOBLE,38590,ZI ZINSEL BP 321 SCHWEIGHOUSE / MODER,48.8417047695,7.83010404968,Base Code Postaux,code postal approché
065.02906,VERMILION REP,2019,Air,Composés organiques volatils non méthaniques (COVNM),81006.1,kg/an,41096483700034,77141,VAUDOY-EN-BRIE,SEINE-ET-MARNE,ILE-DE-FRANCE,656521.23,2413186.08,0610Z,Extraction de pétrole brut,NA,NA,LES PRES DE LA COIGNEE,77141,"LIEU DIT ""PRES DE LA COIGNEE""",48.714331,3.105032,API BAN,0.57
061.03213,Sebastien FERRARI,2019,Air,Composés organiques volatils non méthaniques (COVNM),80985,kg/an,30082187300019,38110,SAINT-JEAN-DE-SOUDAIN,ISERE,AUVERGNE-RHONE-ALPES,841329,2068311,1396Z,Fabrication d'autres textiles techniques et industriels,NA,NA,ZONE INDUSTRIELLE,38110,Zone Industrielle. 249 Rue des Sétives,45.577513,5.530761,API BAN,0.26
100.01788,FAURECIA Automotive composites (Theillay),2019,Air,Composés organiques volatils non méthaniques (COVNM),80981,kg/an,53829574200034,41300,THEILLAY,LOIR-ET-CHER,CENTRE,579120,2256649,6420Z,Activités des sociétés holding,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an",2 LES 3 COUSINS,41300,2 Les 3 cousins,47.309001,2.060228,API BAN,0.95
061.03499,Becker Industrie,2019,Air,Composés organiques volatils non méthaniques (COVNM),80666,kg/an,38103581500012,42600,SAVIGNEUX,LOIRE,AUVERGNE-RHONE-ALPES,736685,2068245,2030Z,"Fabrication de peintures, vernis, encres et mastics",NA,NA,40 RUE DU CHAMP DE MARS,42600,40 RUE DU CHAMP DE MARS,45.602191,4.091505,API BAN,0.96
574.00619,FRUITE,2019,Eau (indirect),Demande biologique en oxygène (DBO5),80489.6,kg/an,40443064700028,74800,LA ROCHE-SUR-FORON,HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,906433.04,127002.03,1032Z,Préparation de jus de fruits et légumes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle),RUE DE LA ROCHE PARNALE,74800,zone industrielle La Balme,46.075868,6.298241,API BAN - Adresse SIRENE,commune
070.00535,NEXANS FRANCE LENS,2019,Air,Composés organiques volatils non méthaniques (COVNM),80297.1,kg/an,42859323000363,62301,LENS,PAS-DE-CALAIS,HAUTS-DE-FRANCE,85305.5,4334,2444Z,Métallurgie du cuivre,2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux",BD DU MARAIS,62300,Boulevard du Marais BP 29,50.4182625415,2.81150914933,Base Code Postaux,code postal approché
